panel,method,city,budget,metric,value,status,n,source,note
six_conditions:paired_active_alternative,WiSER,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,WiSER,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,WiSER,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,WiSER,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,WiSER,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,WiSER,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,WiSER,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,WiSER,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,WiSER,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,WiSER,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,WiSER,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,WiSER,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,WiSER,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,WiSER,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,WiSER,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,WiSER,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,WiSER,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,WiSER,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,WiSER,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,WiSER,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,WiSER,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,WiSER,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,RFIR,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,RFIR,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,RFIR,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,RFIR,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,RFIR,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,RFIR,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,RFIR,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,RFIR,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,RFIR,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,RFIR,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,RFIR,target-boston,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,RFIR,target-boston,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,RFIR,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:correct,RFIR,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,RFIR,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_active_alternative,RFIR,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,RFIR,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:paired_null_alternative,RFIR,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,RFIR,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:wrong_city,RFIR,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,RFIR,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:geometry_destroyed,RFIR,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,RFIR,target-seattle,diagnostic,mean_cluster_bank_median_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
six_conditions:empty,RFIR,target-seattle,diagnostic,mean_cluster_bank_p90_error_m,,MISSING,0,external_baselines/six_condition_results.csv,"Equal bank then base-map-cluster mean; native adapter run, separate from few-shot main table."
coverage,,,,map_baselines,,MISSING,,"external_baselines/six_condition_results.csv, external_baselines/adapter_status.csv",A complete stage receipt is absent; some rows alone cannot establish coverage.
